Actual1,Actual2,Predicted1,Predicted2,Confidence,RMSE
0.375,0.625,0.28703703703703703,0.7129629629629631,0.9891304347826086,0.08796296296296305
1.0,0.0,0.8981481481481481,0.10185185185185185,1.0,0.10185185185185186
0.6875,0.3125,0.8977272727272727,0.10227272727272728,1.0,0.2102272727272727
0.5625,0.4375,0.5220588235294118,0.47794117647058826,0.8369565217391304,0.04044117647058823
1.0,0.0,0.7208333333333333,0.2791666666666667,0.9891304347826086,0.2791666666666667
0.8125,0.1875,0.9019607843137255,0.09803921568627451,1.0,0.0894607843137255
0.4375,0.5625,0.24,0.7599999999999999,0.9891304347826086,0.19749999999999995
0.625,0.375,0.8095238095238094,0.19047619047619047,0.9891304347826086,0.18452380952380948
0.25,0.75,0.21875,0.78125,0.9891304347826086,0.03125
0.875,0.125,0.8977272727272727,0.10227272727272728,1.0,0.022727272727272714
0.0625,0.9375,0.05263157894736842,0.9473684210526315,1.0,0.009868421052631554
0.5625,0.4375,0.6818181818181818,0.3181818181818182,0.9891304347826086,0.1193181818181818
0.1875,0.8125,0.125,0.875,1.0,0.0625
0.5625,0.4375,0.8359375,0.1640625,0.9891304347826086,0.2734375
0.3125,0.6875,0.125,0.875,1.0,0.1875
0.625,0.375,0.8359375,0.1640625,0.9891304347826086,0.2109375
1.0,0.0,0.8981481481481481,0.10185185185185185,1.0,0.10185185185185186
0.1875,0.8125,0.10294117647058824,0.8970588235294119,1.0,0.08455882352941184
0.25,0.75,0.20535714285714285,0.7946428571428571,0.9891304347826086,0.04464285714285712
0.625,0.375,0.7208333333333333,0.2791666666666667,0.9891304347826086,0.09583333333333333
0.8125,0.1875,0.8981481481481481,0.10185185185185185,1.0,0.08564814814814814
0.125,0.875,0.10294117647058824,0.8970588235294119,1.0,0.022058823529411832
0.125,0.875,0.125,0.875,1.0,0.0
0.5625,0.4375,0.6205357142857143,0.3794642857142857,0.9891304347826086,0.0580357142857143
0.6875,0.3125,0.6818181818181818,0.3181818181818182,0.9891304347826086,0.0056818181818182045
0.75,0.25,0.5220588235294118,0.47794117647058826,0.8369565217391304,0.22794117647058823
0.5625,0.4375,0.6818181818181818,0.3181818181818182,0.9891304347826086,0.1193181818181818
0.0625,0.9375,0.2857142857142857,0.7142857142857143,0.9891304347826086,0.2232142857142857
0.0625,0.9375,0.125,0.875,1.0,0.0625
