Actual1,Actual2,Predicted1,Predicted2,Confidence,RMSE
0.375,0.625,0.3861308101184089,0.6138691898815912,0.9891304347826086,0.01113081011840883
1.0,0.0,0.82670879342075,0.17329120657925004,0.9891304347826086,0.17329120657925004
0.6875,0.3125,0.8157693001443,0.18423069985569984,0.9891304347826086,0.1282693001443001
0.5625,0.4375,0.5117981711915536,0.4882018288084464,0.6630434782608696,0.050701828808446425
1.0,0.0,0.5624982504358006,0.4375017495641995,0.9565217391304348,0.43750174956419946
0.8125,0.1875,0.7085040028239556,0.29149599717604435,0.9891304347826086,0.10399599717604435
0.4375,0.5625,0.39769539337474125,0.6023046066252588,0.9782608695652174,0.039804606625258754
0.625,0.375,0.7070616883116883,0.2929383116883117,0.9891304347826086,0.08206168831168828
0.25,0.75,0.3606356944951894,0.6393643055048107,0.9891304347826086,0.11063569449518934
0.875,0.125,0.7399359668109667,0.2600640331890332,0.9891304347826086,0.13506403318903323
0.0625,0.9375,0.17295306280406897,0.8270469371959309,0.9891304347826086,0.11045306280406902
0.5625,0.4375,0.5505529842866,0.44944701571339996,0.9565217391304348,0.011947015713399955
0.1875,0.8125,0.23604197113628061,0.7639580288637194,0.9891304347826086,0.04854197113628059
0.5625,0.4375,0.6141797683747412,0.3858202316252588,0.9891304347826086,0.0516797683747412
0.3125,0.6875,0.32179257482429124,0.6782074251757089,0.9891304347826086,0.009292574824291189
0.625,0.375,0.7130239169531448,0.28697608304685507,0.9891304347826086,0.08802391695314488
1.0,0.0,0.6012553874206688,0.39874461257933125,0.9782608695652174,0.39874461257933125
0.1875,0.8125,0.3314332526488857,0.6685667473511144,0.9891304347826086,0.14393325264888562
0.25,0.75,0.31723564425770306,0.6827643557422969,0.9891304347826086,0.06723564425770309
0.625,0.375,0.6310070816864295,0.3689929183135705,0.9891304347826086,0.006007081686429494
0.8125,0.1875,0.6069335185043806,0.3930664814956194,0.9782608695652174,0.2055664814956194
0.125,0.875,0.3729219948849105,0.6270780051150895,0.9891304347826086,0.2479219948849105
0.125,0.875,0.23604197113628061,0.7639580288637194,0.9891304347826086,0.11104197113628059
0.5625,0.4375,0.5682475882143903,0.43175241178560975,0.9565217391304348,0.0057475882143902535
0.6875,0.3125,0.5150437398279469,0.48495626017205296,0.6630434782608696,0.172456260172053
0.75,0.25,0.5085451300085252,0.49145486999147486,0.6521739130434783,0.24145486999147484
0.5625,0.4375,0.5484849695807177,0.4515150304192823,0.9565217391304348,0.014015030419282315
0.0625,0.9375,0.3681037632444282,0.6318962367555717,0.9891304347826086,0.30560376324442823
0.0625,0.9375,0.4164449889300301,0.5835550110699699,0.9782608695652174,0.3539449889300301
0.75,0.25,0.6076741566191695,0.39232584338083065,0.9782608695652174,0.1423258433808306
0.5625,0.4375,0.5505529842866,0.44944701571339996,0.9565217391304348,0.011947015713399955
0.375,0.625,0.43023095923151866,0.5697690407684813,0.9565217391304348,0.05523095923151866
0.125,0.875,0.39555804205740275,0.6044419579425974,0.9782608695652174,0.2705580420574027
0.625,0.375,0.6655013567927172,0.3344986432072829,0.9891304347826086,0.04050135679271713
0.125,0.875,0.4136464814673436,0.5863535185326564,0.9782608695652174,0.2886464814673436
0.6875,0.3125,0.6028355635732555,0.3971644364267446,0.9782608695652174,0.08466443642674454
0.75,0.25,0.5388257575757576,0.46117424242424243,0.9565217391304348,0.21117424242424243
0.5625,0.4375,0.7047619047619048,0.29523809523809524,0.9891304347826086,0.14226190476190478
0.3125,0.6875,0.2767434210526316,0.7232565789473684,0.9891304347826086,0.03575657894736839
0.1875,0.8125,0.4079683503836318,0.5920316496163682,0.9782608695652174,0.22046835038363177
0.125,0.875,0.4136464814673436,0.5863535185326564,0.9782608695652174,0.2886464814673436
0.125,0.875,0.4164449889300301,0.5835550110699699,0.9782608695652174,0.2914449889300301
0.375,0.625,0.4472677658019729,0.5527322341980271,0.9565217391304348,0.07226776580197292
1.0,0.0,0.6012553874206688,0.39874461257933125,0.9782608695652174,0.39874461257933125
0.5625,0.4375,0.517434172285515,0.482565827714485,0.75,0.045065827714484974
